id,string_key,EN,KO,ZH_CN,ZH_TW,JA,RU,ES,PT,FR,DE,TH,AR,IT,TR,ID
CS,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
int32,string(64),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512),string(512)
63,lobby.ranking.my_rank_empty,My Rank: -,내 순위: -,,,,,,,,,,,,,,
64,lobby.ranking.my_rank_format,My Rank: #{0}  ({1}),내 순위: #{0}  ({1}),,,,,,,,,,,,,,
65,lobby.ranking.loading,Loading...,로딩 중...,,,,,,,,,,,,,,
66,lobby.ranking.no_data,No ranking data,랭킹 정보 없음,,,,,,,,,,,,,,
67,lobby.ranking.default_title,Ranking,랭킹,,,,,,,,,,,,,,
68,lobby.ranking.unavailable,Ranking unavailable,랭킹을 이용할 수 없습니다.,,,,,,,,,,,,,,
69,ingame.moves_label,MOVES,이동,,,,,,,,,,,,,,
70,ingame.signals_label,SIGNALS,신호,,,,,,,,,,,,,,
71,common.btn_claim,Claim,받기,,,,,,,,,,,,,,
72,lobby.ranking.tab_stars,Stars,스타,,,,,,,,,,,,,,
73,lobby.ranking.tab_max_stage,Max Stage,최고 스테이지,,,,,,,,,,,,,,
74,nav.home,Home,홈,,,,,,,,,,,,,,
75,nav.shop,Shop,상점,,,,,,,,,,,,,,
76,nav.ranking,Rank,랭킹,,,,,,,,,,,,,,
82,item.name.add_lane,Add Lane,레인 추가,,,,,,,,,,,,,,
83,item.desc.add_lane,Adds one empty Slot Lane during a stage.,스테이지 중 빈 Slot Lane을 1개 추가합니다.,,,,,,,,,,,,,,
84,item.name.shuffle,Shuffle,셔플,,,,,,,,,,,,,,
85,item.desc.shuffle,Rearranges unfinished Signal Chips.,완성되지 않은 Signal Chip을 다시 섞습니다.,,,,,,,,,,,,,,
86,item.name.hint,Hint,힌트,,,,,,,,,,,,,,
87,item.desc.hint,Highlights one valid chip move.,가능한 칩 이동 1개를 표시합니다.,,,,,,,,,,,,,,
88,item.name.undo,Undo,되돌리기,,,,,,,,,,,,,,
89,item.desc.undo,Reverts the previous chip move.,직전 칩 이동을 되돌립니다.,,,,,,,,,,,,,,
90,tut.select_chip,Select the top Signal Chip.,맨 위 Signal Chip을 선택하세요.,,,,,,,,,,,,,,
91,tut.move_chip,Move it to an empty lane or matching chip.,빈 레인이나 같은 칩 위로 이동하세요.,,,,,,,,,,,,,,
92,tut.moves_explain,Moves are counted; play at your pace.,이동 횟수는 기록되며 천천히 풀어도 괜찮습니다.,,,,,,,,,,,,,,
93,tut.signal_panel_explain,Complete sets light the Signal Panel.,세트를 완성하면 Signal Panel이 점등됩니다.,,,,,,,,,,,,,,
94,tut.star_explain,Fewer moves earn more stars.,이동 횟수가 적을수록 더 많은 별을 얻습니다.,,,,,,,,,,,,,,
95,tut.free_sort,Now sort the signals on your own!,이제 직접 신호를 정렬해 보세요!,,,,,,,,,,,,,
96,tut.locked_lane_what,This lane unlocks after a required signal set.,이 레인은 필요한 신호 세트 완성 후 열립니다.,,,,,,,,,,,,,,
97,tut.frozen_chip_what,This chip cannot move until it is released.,이 칩은 해제되기 전까지 이동할 수 없습니다.,,,,,,,,,,,,,,
98,tut.relay_node_what,Signal sets must complete in the shown order.,신호 세트는 표시된 순서대로 완성해야 합니다.,,,,,,,,,,,,,,
99,tut.overload_chip_what,This chip can move only onto the same signal type.,이 칩은 같은 신호 타입 위로만 이동할 수 있습니다.,,,,,,,,,,,,,,
100,tut.booster_hint_prompt,Try using a booster!,부스터를 사용해 보세요!,,,,,,,,,,,,,
106,chapter.name_fmt,Chapter {0},챕터 {0},,,,,,,,,,,,,,
107,popup.account.btn_save,Save,저장,,,,,,,,,,,,,,
108,popup.account.label_nickname,NICKNAME,닉네임,,,,,,,,,,,,,,
109,popup.account.label_select_avatar,SELECT AVATAR,아바타 선택,,,,,,,,,,,,,,
110,popup.account.tab_avatars,Avatars,아바타,,,,,,,,,,,,,,
111,popup.account.tab_board_skins,Board Skins,보드 스킨,,,,,,,,,,,,,,
112,popup.account.placeholder_nickname,Enter nickname...,닉네임 입력...,,,,,,,,,,,,,,
113,popup.buy.title,Buy Item,아이템 구매,,,,,,,,,,,,,,
114,popup.buy.cost_fmt,Cost: {0} Gold,비용: {0} 골드,,,,,,,,,,,,,,
115,popup.buy.gold_fmt,Owned: {0} Gold,보유: {0} 골드,,,,,,,,,,,,,,
116,popup.fail.watch_ad,Watch Ad,광고 보기,,,,,,,,,,,,,,
117,chapter.locked,Locked,잠김,,,,,,,,,,,,,,
118,popup.settings.haptic,Haptic,진동,,,,,,,,,,,,,,
119,popup.settings.language,Language,언어,,,,,,,,,,,,,,
120,popup.settings.lang.KO,Korean,한국어,,,,,,,,,,,,,,
121,popup.settings.lang.EN,English,영어,,,,,,,,,,,,,,
122,common.loading,Loading,로딩 중,,,,,,,,,,,,,,
123,common.gold,Gold,골드,,,,,,,,,,,,,,
124,currency.desc.gold,The main currency used to purchase items.,아이템 구매에 사용되는 기본 재화.,,,,,,,,,,,,,,
125,common.btn_unlock,Unlock,잠금 해제,,,,,,,,,,,,,,
126,common.btn_switch,Switch,전환,,,,,,,,,,,,,,
127,error.ad_failed,Ad watching failed.,광고 시청에 실패했습니다.,,,,,,,,,,,,,,
128,error.server_unstable,Server connection is unstable. Please try again later.,서버 연결이 불안정합니다. 잠시 후 다시 시도해 주세요.,,,,,,,,,,,,,,
129,popup.stuck.shuffle_cost_fmt,Shuffle: {0} Gold,셔플: {0} 골드,,,,,,,,,,,,,,
130,popup.account.confirm_unlock_theme_title,Unlock Theme,테마 잠금 해제,,,,,,,,,,,,,,
131,popup.account.confirm_unlock_theme_body_fmt,Unlock this board theme for {0} Gold?,이 보드 테마를 {0} 골드로 잠금 해제할까요?,,,,,,,,,,,,,,
132,popup.account.confirm_failed_unlock_theme,Failed to unlock board theme.,보드 테마 잠금 해제에 실패했습니다.,,,,,,,,,,,,,,
133,popup.account.confirm_unlock_avatar_title,Unlock Avatar,아바타 잠금 해제,,,,,,,,,,,,,,
134,popup.account.confirm_unlock_avatar_body_fmt,Unlock this avatar for {0} Gold?,이 아바타를 {0} 골드로 잠금 해제할까요?,,,,,,,,,,,,,,
135,popup.account.confirm_failed_unlock_avatar,Failed to unlock avatar.,아바타 잠금 해제에 실패했습니다.,,,,,,,,,,,,,,
136,popup.account.confirm_switch_title,Switch Account,계정 전환,,,,,,,,,,,,,,
137,popup.account.confirm_switch_body,Switching accounts will replace local data with the new account data. Your current account data is preserved on the server.,계정을 전환하면 현재 기기의 데이터가 새 계정의 데이터로 교체됩니다. 현재 계정 데이터는 서버에 보관됩니다.,,,,,,,,,,,,,,
138,toast.insufficient_gold,Insufficient Gold!,골드 부족!,,,,,,,,,,,,,,
139,toast.stage_locked,Stage is locked!,스테이지가 잠겨 있습니다!,,,,,,,,,,,,,,
140,toast.booster_purchased,Purchased booster!,부스터를 구매했습니다!,,,,,,,,,,,,,,
141,toast.add_lane_granted,Add Lane applied!,레인이 추가되었습니다!,,,,,,,,,,,,,,
142,toast.ad_cancelled,Ad failed or was cancelled.,광고를 불러오지 못했거나 취소되었습니다.,,,,,,,,,,,,,,
143,toast.ad_service_unavailable,Ad service is not available.,광고 서비스를 사용할 수 없습니다.,,,,,,,,,,,,,,
144,toast.stuck_resolved,Stuck resolved!,교착 상태가 해소되었습니다!,,,,,,,,,,,,,,
145,toast.chapter_unlock_requirement,3-star all stages in this chapter to unlock!,챕터의 모든 스테이지를 3성으로 클리어해야 해제됩니다!,,,,,,,,,,,,,,
146,toast.chest_claimed,Chest Claimed!,보물상자 획득!,,,,,,,,,,,,,,
147,toast.nickname_length_error,Nickname must be between 2 and 24 characters.,닉네임은 2~24자여야 합니다.,,,,,,,,,,,,,,
148,toast.nickname_char_error,Only letters numbers spaces underscores and hyphens are allowed.,영문자·숫자·공백·밑줄·하이픈만 사용할 수 있습니다.,,,,,,,,,,,,,,
149,toast.nickname_updated,Nickname updated successfully!,닉네임이 성공적으로 업데이트되었습니다!,,,,,,,,,,,,,,
150,toast.nickname_update_failed,Failed to update nickname.,닉네임 업데이트에 실패했습니다.,,,,,,,,,,,,,,
151,toast.theme_not_enough_gold,Not enough gold to unlock this theme.,이 테마를 잠금 해제할 골드가 부족합니다.,,,,,,,,,,,,,,
152,toast.theme_equipped,Board theme equipped!,보드 테마가 장착되었습니다!,,,,,,,,,,,,,,
153,toast.theme_equip_failed,Failed to equip board theme.,보드 테마 장착에 실패했습니다.,,,,,,,,,,,,,,
154,toast.theme_unlocked,Board theme unlocked and equipped!,보드 테마가 해제되고 장착되었습니다!,,,,,,,,,,,,,,
155,toast.avatar_not_enough_gold,Not enough gold to unlock this avatar.,이 아바타를 잠금 해제할 골드가 부족합니다.,,,,,,,,,,,,,,
156,toast.avatar_equipped,Avatar equipped!,아바타가 장착되었습니다!,,,,,,,,,,,,,,
157,toast.avatar_equip_failed,Failed to equip avatar.,아바타 장착에 실패했습니다.,,,,,,,,,,,,,,
158,toast.avatar_unlocked,Avatar unlocked and equipped!,아바타가 해제되고 장착되었습니다!,,,,,,,,,,,,,,
159,toast.google_signin_not_configured,Google Sign-In is not configured.,Google 로그인이 설정되지 않았습니다.,,,,,,,,,,,,,,
160,toast.google_signin_unavailable,Google Sign-In unavailable.,Google 로그인을 사용할 수 없습니다.,,,,,,,,,,,,,,
161,toast.account_linked,Account linked successfully!,계정이 성공적으로 연동되었습니다!,,,,,,,,,,,,,,
162,toast.account_switched,Account switched successfully!,계정이 성공적으로 전환되었습니다!,,,,,,,,,,,,,,
163,toast.google_signin_android_only,Google Sign-In is only supported on Android.,Google 로그인은 안드로이드에서만 지원됩니다.,,,,,,,,,,,,,,
164,toast.item_spend_failed,Failed to use item. Please try again.,아이템 사용에 실패했습니다. 다시 시도해 주세요.,,,,,,,,,,,,,,
165,popup.stuck.restart_body,Restart this stage from the beginning?,이 스테이지를 처음부터 다시 시작할까요?,,,,,,,,,,,,,,
166,popup.stuck.add_lane_ad_body,Watch an ad to add one empty Slot Lane immediately?,광고를 시청해서 빈 Slot Lane 1개를 즉시 추가할까요?,,,,,,,,,,,,,,
167,popup.account.choose_avatar,Choose Avatar,아바타 선택,,,,,,,,,,,,,,
168,popup.account.choose_board_theme,Choose Board Theme,보드 테마 선택,,,,,,,,,,,,,,
169,toast.chest_claim_failed,Failed to claim chest.,보물상자 획득에 실패했습니다.,,,,,,,,,,,,,,
170,popup.boot.continue_as_guest_title,Continue as Guest?,게스트로 계속할까요?,,,,,,,,,,,,,,
171,popup.boot.continue_as_guest_body,Progress linked to your account will not be accessible.,계정에 연동된 진행 데이터에 접근할 수 없게 됩니다.,,,,,,,,,,,,,,
172,shop.coming_soon,This package will be available for In-App Purchase in a future update.,이 패키지는 향후 업데이트에서 인앱 결제로 제공될 예정입니다.,,,,,,,,,,,,,,
173,shop.starter_pack,Starter Pack,스타터 팩,,,,,,,,,,,,,,
174,shop.item_bundle,Item Bundle,아이템 번들,,,,,,,,,,,,,,
175,shop.remove_ads,Remove Ads,광고 제거,,,,,,,,,,,,,,
176,popup.result.double_reward,Double Reward,보상 2배,,,,,,,,,,,,,,
177,shop.iap.title,Shop,상점,,,,,,,,,,,,,,
178,shop.iap.packages,Special Packages,스페셜 패키지,,,,,,,,,,,,,,
179,shop.iap.no_ads.title,No Ads,광고 제거,,,,,,,,,,,,,,
180,shop.iap.no_ads.desc,Permanently remove interstitial ads.,전면 광고를 영구적으로 제거합니다.,,,,,,,,,,,,,,
181,shop.iap.no_ads.price,$1.99,$1.99,,,,,,,,,,,,,,
182,shop.iap.starter.title,Starter Pack,스타터 팩,,,,,,,,,,,,,,
183,shop.iap.starter.desc,"Get Gold, Signal Sort boosters, and Remove Ads!","골드, Signal Sort 부스터, 광고 제거 혜택을 한 번에!",,,,,,,,,,,,,,
184,shop.iap.starter.price,$4.99,$4.99,,,,,,,,,,,,,,
185,shop.iap.master.title,Master Bundle,마스터 번들,,,,,,,,,,,,,,
186,shop.iap.master.desc,Huge stack of Signal Sort boosters for expert players.,숙련된 플레이어를 위한 대량의 Signal Sort 부스터 묶음.,,,,,,,,,,,,,,
187,shop.iap.master.price,$9.99,$9.99,,,,,,,,,,,,,,
188,shop.iap.purchased,Purchased,구매 완료,,,,,,,,,,,,,,
189,toast.iap_purchase_success,Purchase successful!,구매가 성공적으로 완료되었습니다!,,,,,,,,,,,,,,
190,toast.iap_already_owned,You already own this product.,이미 보유하고 있는 상품입니다.,,,,,,,,,,,,,,
191,toast.iap_limit_reached,Purchase limit reached.,구매 한도에 도달했습니다.,,,,,,,,,,,,,,
192,shop.reward.no_ads,Remove Ads,광고 제거,,,,,,,,,,,,,,
193,shop.iap.tag.best_value,BEST VALUE,최고의 가치,,,,,,,,,,,,,,
194,shop.iap.tag.popular,POPULAR,인기 상품,,,,,,,,,,,,,,
195,shop.iap.tag.best_buy,BEST BUY,추천 상품,,,,,,,,,,,,,,
196,shop.iap.limit.daily,Daily ({0}/{1}),일간 ({0}/{1}),,,,,,,,,,,,,,
197,shop.iap.limit.weekly,Weekly ({0}/{1}),주간 ({0}/{1}),,,,,,,,,,,,,,
198,shop.iap.limit.monthly,Monthly ({0}/{1}),월간 ({0}/{1}),,,,,,,,,,,,,,
199,shop.iap.limit.none,Limit ({0}/{1}),구매 제한 ({0}/{1}),,,,,,,,,,,,,,
200,shop.category.special_offer,Special Offer,스페셜 오퍼,,,,,,,,,,,,,,
201,shop.category.bundle,Bundle,번들,,,,,,,,,,,,,,
